Ahtiala;AHA
Ahjo;AHJ
Aholahti;AHL
Ahonpää;AHO
Ahonperä;AHP
Ahvenus;AHV
Alavus;ALV
Ainola;AIN
Alavojakkala;AJA
Ajos;AJO
Aittojärvi;AJV
Akkaharju;AKA
Ahkio;AKO
Ahonkylä;AKY
Alalampi;ALA
Alfa;ALF
Alholma;ALH
Alhojärvi;ALI
Alavus;ALV
Arometsä;AM
Ahmas;AMS
Amuri;AMU
Antrea;AN
Ahmaneva;ANE
Ankeriasjärvi;ANK
Alanurmo;ANU
Aapajoki;APA
Alapitkä;APT
Artjärvi;AR
Airaksela;ARL
Arola;ARO
Riihimäki Arolampi;ARP
Asunta;ASN
Asola;ASO
Anttila;AT
Aittaluoto;ATL
Aitomäki;ATM
Aitoneva;ATN
Alattu;ATU
Aura;AU
Alava;AVA
Alvajärvi;AVI
Ali-Vekkoski;AVK
Alavoinen;AVN
Aviapolis;AVP
Aavasaksa;AVS
Bomba;BB
Dynamiittivaihde;DMV
Dragsvik;DRA
Eurajoki;EJ
Enja;EJA
Enonjärvi;EJI
Eskola;ELA
Elijärvi;ELI
Ellilä;ELL
Enäjärvi;ENJ
Enso;ENS
Etelä-Orimattila;EOM
Eno;ENO
Espoo;EPO
Eläinpuisto-Zoo;EPZ
Epilä;EPÄ
Etelä-Rekola;ERKL
Ervelä;ERV
Etelä-Savio;ESAV
Eskilom;ESK
Esso;ESSO
Eura;EU
Halli;EVJ
Elisenvaara;EVR
Forssa;FR
Heinola;HA
Haukivuori;HAU
Haarajoki;HAA
Haarla;HAA
Halla-aho;HAH
Hakkari;HAK
Hanko;HAN
Haapakko;HAO
Haapalahti;HAP
Hakasuo;HAS
Hausjärvi tavara;HAS
Haukipudas;HD
Heikkilä;HEK
Hennala;HEN
Hangonsaari;HGS
Hinthaara;HH
Hikiä;HK
Hahmajärvi;HHJ
Huuhanmäki;HHM
Hirviaho;HHO
Hiltula;HIL
Hietama;HIM
Hinkka;HIN
Hiirola;HIR
Harju;HJ
Hajala;HJA
Heinjoki;HJK
Hausjärvi;HJR
Huuhkajavaara;HJV
Haukka;HKA
Hiekkaharju;HKH
Helsinki;HKI
Hanko-Pohjoinen;HKP
Hankasalmi;HKS
Helsinki maitoasema;HKIM
Honkakoski;HKK
Hakolahti;HKL
Helsinki-Metsälän raide;HKM
Honkaniemi;HKN
Huutokoski;HKO
Hanko-Pohjoinen;HKP
Honkaranta;HKR
Hämeenlinna;HL
Hinkua;HKU
Haukkavaara;HKV
Haapakylä;HKY
Härkönen;HKÖ
Haistila;HLA
Helle;HLE
Humaljoki;HLJ
Halikko;HLK
Hiilimäki;HLM
Hollo;HLO
Hillosensalmi;HLS
Hakosilta;HLT
Hallavaara;HLV
Hyvärilä;HLÄ
Härmä;HM
Hamina;HMA
Hämekoski;HMK
Härmänmäki;HMM
Humpinmäki;HMP
Höytämö;HMÖ
Hietanen;HN
Hannila;HNA
Hanhikoski;HNH
Hanko tavara;HNKT
Henna;HNN
Heinoo;HNO
Hanhisuo;HNS
Heinä;HNÄ
Hokkanen;HOK
Harola;HOL
Honkala;HON
Hopealinja;HOP
Kotka Hovinsaari;HOS
Humppila;HP
Haaparanta;HPA
Haapajärvi;HPJ
Haapamäki;HPK
Huopalahti;HPL
Haapanoro;HPO
Haapakoski;HPS
Haapataipale;HPT
Horppu;HPU
Haapavaara;HPV
Herrala;HR
Haarankallio;HRK
Harlu;HRL
Herralanmäki;HRM
Hirvas;HRS
Herttoniemi;HRT
Harviala;HRV
Hasa;HSA
Hirviselkä;HSE
Haksi;HSI
Hammaslahti;HSL
Hevossaari;HSS
Höysälä;HSÄ
Hakaniemi;HT
Hietala;HTA
Hytti;HTI
Hiitola;HTL
Hietamäki;HTM
Hatanpää;HTP
Hautavaara;HTV
Harjuniitty;HTY
Huhtola;HUH
Huikko;HUI
Hukankoski;HUK
Hulaus;HUL
Humalamäki;HUM
Huttula;HUT
Huutoniemi;HUU
Harjavalta;HVA
Herajärvi;HVI
Havukoski;HVK
Hirvineva;HVN
Haviseva;HVS
Huovintie;HVT
Hyrynjärvi;HYJ
Hyrkäs;HYR
Hyrynsalmi;HYS
Hirsilä;HÄ
Heinävaara;HÄV
Hanko;HNK
Heinävesi;HNV
Humppila;HP
Humppila-Museorautatie;HPM
Haapajärvi;HPJ
Haapamäki;HPK
Huopalahti;HPL
Herrala;HR
Hammaslahti;HSL
Harjavalta;HVA
Hyvinkää;HY
Höljäkkä;HÖL
Ii;II
Inkoo;IKO
Ihala;IHA
Ii;II
Itäkeskus;IK
Ilomäki;IKI
