Alavus;ALV
Dragsvik;DRA
Eno;ENO
Espoo;EPO
Eläinpuisto-Zoo;EPZ
Heinola;HA
Haukivuori;HAU
Hinthaara;HH
Hikiä;HK
Hiekkaharju;HKH
Helsinki;HKI
Hanko-Pohjoinen;HKP
Hankasalmi;HKS
Hämeenlinna;HL
Härmä;HM
Hamina;HMA
Hanko;HNK
Heinävesi;HNV
Humppila;HP
Humppila-Museorautatie;HPM
Haapajärvi;HPJ
Haapamäki;HPK
Huopalahti;HPL
Herrala;HR
Hammaslahti;HSL
Harjavalta;HVA
Hyvinkää;HY
Höljäkkä;HÖL
Ii;II
Inkoo;IKO
Inkeroinen;IKR
Isokyrö;IKY
Ilmala;ILA
Iisalmi;ILM
Ilomantsi;ILO
Ilmalan ratapiha;ILR
Imatrankoski;IMK
Imatra;IMR
Imatran tavara-asema;IMT
Imatra raja;IRA
Iittala;ITA
Jalasjärvi;JAL
Juupajoki;JJ
Jokela;JK
Juankoski;JKI
Joensuu;JNS
Jokioinen;JOK
Järvenpää;JP
Järvelä;JR
Jorvas;JRS
Jämsänkoski;JSK
Joutseno;JTS
Jyväskylä;JY
Jämsä;JÄS
Kausala;KA
Kajaani;KAJ
Kannelmäki;KAN
Kerava;KE
Kera;KEA
Kemi;KEM
Kemira;KER
Keuruu;KEU
Kauhava;KHA
Kilo;KIL
Kitee;KIT
Kerimäki;KIÄ
Kemijärvi;KJÄ
Kokemäki;KKI
Kirkkonummi;KKN
Kauklahti;KLH
Kolari;KLI
Kyminlinna;KLN
Kommila;KMM
Kauniainen;KNI
Kannus;KNS
Kokkola;KOK
Kontiomäki;KON
Koskenkorva;KOS
Karjaa;KR
Koria;KRA
Kurkimäki;KRM
Kirkniemi;KRN
Korso;KRS
Karkku;KRU
Kiuruvesi;KRV
Kyrölä;KRÖ
Kaskinen;KSK
Kotka;KTA
Kesälahti;KTI
Kohtavaara;KTR
Kotka satama;KTS
Kuivaniemi;KUI
Kuusankoski;KUK
Kuopio;KUO
Kupittaa;KUT
Kouvola;KV
Koivuhovi;KVH
Kuusivaara;KVR
Kouvolan tavara-asema;KVT
Koivu;KVU
Koivukylä;KVY
Kymi;KY
Kylänlahti;KYN
Käpylä;KÄP
Kyrö;KÖ
Lappila;LA
Laihia;LAI
Lahti;LH
Lautiosaari;LI
Lieksa;LIS
Laurila;LLA
Lielahti;LLH
Loimaa;LM
Luoma;LMA
Lapinlahti;LNA
Lohja;LO
Louhela;LOH
Lapua;LPA
Lappohja;LPO
Leppävaara;LPV
Lempäälä;LPÄ
Lappeenranta;LR
Lauritsala;LRS
Lusto;LUS
Loviisan satama;LVS
Lievestuore;LVT
Länsisatama;LÄN
Masala;MAS
Muhos;MH
Mikkeli;MI
Misi;MIS
Minkiö;MIÖ
Myllykoski;MKI
Malmi;ML
Mommila;MLA
Malminkartano;MLO
Mäntyluoto;MN
Mankki;MNK
Mäntyharju;MR
Martinlaakso;MRL
Messukylä;MSK
Mussalo;MSS
Muurola;MUL
Myllymäki;MY
Myyrmäki;MYR
Mynttilä;MYT
Mäkkylä;MÄK
Naantali;NNL
Nokia;NOA
Niirala;NRL
Nurmes;NRM
Nuojua;NUA
Nurmenkylä;NUM
Nuppulinna;NUP
Nurmo;NUR
Nutturla;NUT
Niva;NV
Nostava;NVA
Nivala;NVL
Nivavaara;NVV
Nykyme;NYK
Nivala;NVL
Näljäneva;NÄL
Näpiö;NÄR
Näätäjoki;NÄÄ
Ohenmäki;OHM
Olkiaho;OHO
Oitti;OI
Kouvola oikoraide;OIK
Ojakkala;OJA
Ojanmaa;OJM
Okkula;OK
Outokumpu k;OKK
Okeroinen;OKR
Outokumpu;OKU
Oulu;OL
Oulunkylä;OLK
Oulunlahti;OLL
Olli;OLLI
Oulu tavara;OLT
Orimattila;OM
Omenamäki;OME
Onkamo;OMO
Onttola;ONT
Oulu Oritkari;ORI
Onkamo;ONK
Orilampi;ORL
Orsijoki;ORS
Oserki;OS
